Experience,Outdoor sports,Thrill,Icons,Workshop,Adventure,Theme parks,Tradition,Scenic,Entertainment,Explore,Arts,Heritage,Marine Life,Relaxing,Galleries,History,Museums,Educational,Culture,Wildlife,Nature,Food,Animals,Shows,Games,Landmarks,Disovery,title,id
0.07084808498620987,0.0061242589727044106,0.1266285926103592,0.021449673920869827,0.008443973958492279,0.023852288722991943,0.3101920187473297,0.01584811881184578,0.024995077401399612,0.11146984994411469,0.035184167325496674,0.019139572978019714,0.01815411075949669,0.00976970698684454,0.006945819593966007,0.0167465228587389,0.016163578256964684,0.008549018763005733,0.005735140759497881,0.021137405186891556,0.009184902533888817,0.012981479056179523,0.004015709273517132,0.013574543409049511,0.04658554121851921,0.006995036732405424,0.01220797374844551,0.01707787998020649,Universal Studios Singapore Ticket,0
0.07647795975208282,0.012392770498991013,0.05486009269952774,0.08922161906957626,0.023757589980959892,0.028659582138061523,0.011729195713996887,0.03764624521136284,0.07694625854492188,0.02028329111635685,0.06296969950199127,0.019448861479759216,0.028670214116573334,0.01656540296971798,0.039640191942453384,0.018010441213846207,0.04184836894273758,0.009735033847391605,0.01511421799659729,0.03359714895486832,0.06280621886253357,0.03353387862443924,0.01085903774946928,0.04099241644144058,0.019535070285201073,0.01687641069293022,0.02539774216711521,0.072424978017807,Klook Pass Singapore,1
0.10042772442102432,0.011074639856815338,0.031763236969709396,0.07379405945539474,0.021403945982456207,0.03009558469057083,0.009698024019598961,0.027829905971884727,0.08348164707422256,0.03390864282846451,0.06410094350576401,0.042012572288513184,0.037974029779434204,0.016994887962937355,0.04034675285220146,0.03018130175769329,0.024052266031503677,0.020389635115861893,0.011302925646305084,0.05552361533045769,0.024426812306046486,0.05691537261009216,0.010778093710541725,0.02159246802330017,0.0388166569173336,0.01638445071876049,0.031431253999471664,0.03329849988222122,Gardens by the Bay Ticket in Singapore,2
0.12459103018045425,0.009562925435602665,0.039652831852436066,0.0280599407851696,0.018375461921095848,0.05904822051525116,0.008870765566825867,0.020439444109797478,0.04387776553630829,0.039931636303663254,0.09452730417251587,0.029910005629062653,0.020752504467964172,0.06033213809132576,0.01743323728442192,0.036429982632398605,0.017345907166600227,0.029974088072776794,0.021356698125600815,0.049445703625679016,0.019140956923365593,0.04009805992245674,0.005431472789496183,0.07566291093826294,0.02393510937690735,0.014820986427366734,0.02724841795861721,0.023744508624076843,"S.E.A. Aquarium Ticket Sentosa, Singapore",3
0.1040315181016922,0.01527031883597374,0.02697557583451271,0.020732717588543892,0.013303151354193687,0.10013370960950851,0.027194775640964508,0.017101280391216278,0.02634497918188572,0.06969460099935532,0.06586772203445435,0.016996579244732857,0.014163250103592873,0.009757683612406254,0.04186079278588295,0.017602654173970222,0.01624898612499237,0.015981756150722504,0.010314865969121456,0.0242344718426466,0.04499923437833786,0.05854196846485138,0.0810776874423027,0.05420485511422157,0.05685720965266228,0.00785045512020588,0.014906139113008976,0.027751151472330093,Night Safari Singapore Ticket With Tram Ride,4
0.09768068790435791,0.01856311224400997,0.10285024344921112,0.033643271774053574,0.01049404963850975,0.14093713462352753,0.02649204432964325,0.01459891814738512,0.05268711969256401,0.10191971808671951,0.03462827950716019,0.05143970623612404,0.02757459692656994,0.013864494860172272,0.010552894324064255,0.014541742391884327,0.01927470974624157,0.012265926226973534,0.016486676409840584,0.04016399011015892,0.01886862702667713,0.034881412982940674,0.004201267380267382,0.026161357760429382,0.022995661944150925,0.013055689632892609,0.01691720448434353,0.022259529680013657,Splashtopia @ Sentosa Palawan Green,5
0.07631349563598633,0.016308998689055443,0.02769772708415985,0.03722032532095909,0.018470121547579765,0.039878010749816895,0.029903871938586235,0.026681967079639435,0.06267556548118591,0.08962371200323105,0.08082325011491776,0.03030254691839218,0.021407170221209526,0.013218245469033718,0.03575802966952324,0.020443156361579895,0.020836686715483665,0.012245926074683666,0.041284430772066116,0.05002562701702118,0.019715039059519768,0.046054963022470474,0.041543468832969666,0.023144196718931198,0.04060642421245575,0.01929762400686741,0.023119699209928513,0.0353996679186821,Singapore Cable Car Sky Pass,6
0.04303167015314102,0.008620102889835835,0.0314963273704052,0.05067726969718933,0.023488253355026245,0.026282791048288345,0.008567471988499165,0.030851641669869423,0.08821264654397964,0.025587446987628937,0.05295379087328911,0.01754140853881836,0.0693512111902237,0.011800535954535007,0.036863118410110474,0.023917997255921364,0.05665206164121628,0.014421935193240643,0.011520151980221272,0.042752597481012344,0.048037994652986526,0.09237892925739288,0.005655469372868538,0.06525822728872299,0.011865353211760521,0.011432385072112083,0.036827243864536285,0.05395400524139404,Singapore Zoo Ticket With Tram Ride,7
0.03601907193660736,0.021016977727413177,0.010179201140999794,0.01854609325528145,0.009021515026688576,0.014400280080735683,0.01744168996810913,0.01615898311138153,0.05199946463108063,0.05308355763554573,0.0726202130317688,0.09184172004461288,0.015599275007843971,0.016438325867056847,0.015612461604177952,0.058269839733839035,0.0175344068557024,0.07242507487535477,0.026454411447048187,0.05125841498374939,0.011561572551727295,0.033712662756443024,0.00851468462496996,0.01613485999405384,0.08272749930620193,0.010373859666287899,0.14106814563274384,0.009985729120671749,ArtScience Museum at Marina Bay Sands Ticket,8
0.06601684540510178,0.008826008066534996,0.03298204764723778,0.09222835302352905,0.020340731367468834,0.04372665286064148,0.010434445925056934,0.02569340355694294,0.07563105970621109,0.04911963269114494,0.052899617701768875,0.03517021983861923,0.05719032138586044,0.019420519471168518,0.01245107315480709,0.024048401042819023,0.0508776530623436,0.020660771057009697,0.012616424821317196,0.061250850558280945,0.01969115063548088,0.019029295071959496,0.007773567456752062,0.02223275974392891,0.0594441220164299,0.01989508979022503,0.032801106572151184,0.04754788056015968,Singapore Flyer Ticket,9
